describe,introduce,star,serial_number,evaluate,movie_name
音乐能化解仇恨。,2002/法国德国英国波兰/剧情传记历史战争音乐,9.0,59,236246人评价,钢琴家
奔跑的孩子是天使。,1997/伊朗/剧情家庭儿童,9.2,60,168941人评价,小鞋子
警察抓小偷，老鼠玩死猫。,1995/美国/剧情犯罪悬疑惊悚,8.7,61,497090人评价,七宗罪
以戏谑来戏谑戏谑。,2006/日本/剧情歌舞,8.9,62,352023人评价,被嫌弃的松子的一生
孪生蝙蝠侠大战克隆金刚狼。,2006/美国英国/剧情悬疑惊悚,8.8,63,403961人评价,致命魔术
法式小清新。 ,2001/法国德国/喜剧爱情,8.7,64,553576人评价,天使爱美丽
在时间之河里感受溺水之苦。,2008/美国/剧情爱情奇幻,8.8,65,458161人评价,本杰明·巴顿奇事
美丽无罪。,2000/意大利美国/剧情战争情色,8.8,66,423373人评价,西西里的美丽传说
用音乐化解仇恨，让歌声串起美好。,1965/美国/剧情传记爱情歌舞,8.9,67,269957人评价,音乐之声
视觉革命。,1999/美国澳大利亚/动作科幻,8.9,68,334598人评价,黑客帝国
你给我翻译翻译，神马叫做TMD的惊喜。,2010/中国大陆香港/剧情喜剧动作西部,8.7,69,744217人评价,让子弹飞
美利坚精神输出大片No1.,1998/美国/剧情历史战争,8.9,70,286654人评价,拯救大兵瑞恩
你以为你以为的就是你以为的。,2016/西班牙/剧情犯罪悬疑惊悚,8.7,71,439206人评价,看不见的客人
故事的高级讲法。,1994/美国/剧情喜剧犯罪,8.8,72,394563人评价,低俗小说
史诗大片的典范。,1995/美国/动作传记剧情历史战争,8.8,73,332934人评价,勇敢的心
浪漫忧郁的成人童话。,1990/美国/剧情奇幻爱情,8.7,74,559316人评价,剪刀手爱德华
安东尼·霍普金斯的顶级表演。,1991/美国/剧情犯罪惊悚,8.8,75,407159人评价,沉默的羔羊
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987/英国意大利中国大陆法国美国/剧情传记历史,9.0,76,216514人评价,末代皇帝
经典之作，历久弥新。,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,9.3,77,127175人评价,大闹天宫
人的命运被自己瞬间的抉择改变。,2004/美国加拿大/剧情悬疑科幻惊悚,8.7,78,443949人评价,蝴蝶效应
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008/日本/剧情,8.8,79,353461人评价,入殓师
爱情纠缠，男女一致。,1997/香港日本韩国/剧情爱情同性,8.8,80,291231人评价,春光乍泄
人生中应该拥有这样的一段豁然开朗。,1997/美国/剧情,8.8,81,320664人评价,心灵捕手
你是我最好的朋友，你是我唯一的朋友 。,2009/澳大利亚/剧情动画,8.9,82,256381人评价,玛丽和马克思
童话世界的开端。,2001/美国英国/奇幻冒险,8.8,83,322185人评价,哈利·波特与魔法石
一场华丽的意淫。,1994/中国大陆香港/剧情,8.8,84,317170人评价,阳光灿烂的日子
小清新的故事里注入了大历史的情怀。,2014/美国德国英国/剧情喜剧冒险,8.8,85,382667人评价,布达佩斯大饭店
昔日翩翩少年，今日大腹便便。,2010/美国/剧情悬疑惊悚,8.7,86,422631人评价,禁闭岛
人与自然的战争史诗。,1997/日本/动画奇幻冒险,8.8,87,271326人评价,幽灵公主
深入内心的恐怖，出人意料的结局。,1999/美国/剧情悬疑惊悚,8.8,88,270744人评价,第六感
骗子大师和执著警探的你追我跑故事。 ,2002/美国加拿大/传记犯罪剧情,8.8,89,282236人评价,猫鼠游戏
寂寞没有期限。,1994/香港/剧情爱情,8.7,90,385653人评价,重庆森林
人言可畏。,2012/丹麦瑞典/剧情,9.1,91,157697人评价,狩猎
最不可能的那个人永远是最可能的。,2003/美国/剧情悬疑惊悚,8.7,92,371372人评价,致命ID
每个人心中都有一座断背山。,2005/美国加拿大/剧情爱情同性家庭,8.7,93,369625人评价,断背山
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003/美国/剧情家庭奇幻冒险,8.7,94,290039人评价,大鱼
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008/英国美国/剧情战争,8.9,95,182742人评价,穿条纹睡衣的男孩
约翰尼·德普的独角戏。,2003/美国/动作冒险奇幻,8.6,96,405564人评价,加勒比海盗
没有一人完全善，也没有一人完全恶。,2010/日本/剧情惊悚,8.7,97,392493人评价,告白
相逢只要一瞬间，等待却像是一辈子。,1996/香港/剧情爱情,8.8,98,261686人评价,甜蜜蜜
我们都曾经是一一。,2000/台湾日本/剧情爱情家庭,8.9,99,177531人评价,一一
百看不厌。 ,1993/香港/喜剧古装,8.7,100,315853人评价,射雕英雄传之东成西就
绝对意义上的美轮美奂。,2009/美国英国/动作战争科幻冒险,8.6,101,609894人评价,阿凡达
大时代中的人生，小人物的悲喜。,1936/美国/喜剧剧情爱情,9.2,102,108212人评价,摩登时代
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011/韩国/剧情喜剧,8.8,103,309770人评价,阳光姐妹淘
被上帝抛弃了的上帝之城。,2002/巴西法国/犯罪剧情,8.9,104,174799人评价,上帝之城
缘分是个连绵词，最美不过一瞬。,1995/美国奥地利瑞士/剧情爱情,8.7,105,257551人评价,爱在黎明破晓前
年度最佳date movie。,2014/美国/剧情犯罪悬疑惊悚,8.7,106,417171人评价,消失的爱人
少女情怀总是诗。,1995/日本/剧情爱情动画,8.8,107,200116人评价,侧耳倾听
动画片的圣经。,1984/日本/动画奇幻冒险,8.8,108,201419人评价,风之谷
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004/美国/剧情爱情,8.8,109,228041人评价,爱在日落黄昏时
穷尽一生，我们要学会的，不过是彼此拥抱。,2011/美国/剧情,8.8,110,203528人评价,超脱
两张绝世的脸。 ,1987/香港/剧情爱情武侠古装,8.6,111,302882人评价,倩女幽魂
